Farmer ID,CropArea_Ha,YearName,MonthNumber,WeekNumber,QuantityKg
2683,0.4737,2022,6,24,98.6
679,0.8721,2021,2,6,45.2
1947,0.1286,2020,11,47,166.9
15643,1,2023,6,25,98.7
17133,0.6,2022,5,23,80.5
2561,0.5136,2021,6,23,70
774,0.1046,2022,6,26,38.9
2065,1.3158,2021,3,12,63.8
2244,0.237,2021,6,24,25.3
2487,0.7081,2019,3,10,37.1
21498,0.6909,2023,10,44,10.8
2144,0.5074,2023,1,1,26.5
17031,0.1094,2019,6,25,6.1
1808,1.1716,2020,10,44,279.1
2162,1.4484,2023,4,14,2846.5
17433,0.2945,2020,6,24,19.3
1972,0.5666,2022,3,11,67
17878,0.0965,2020,2,8,54.4
1912,0.4471,2019,1,5,51.6
1022,0.2581,2020,1,2,11.8
2599,0.3724,2019,9,40,10
2284,0.3146,2023,3,11,35.2
2252,0.1161,2022,3,12,42.7
935,0.4592,2020,10,42,87.2
17307,0.5,2019,6,26,39.1
980,0.4053,2022,1,2,109
16453,2,2020,7,31,139.4
2723,0.8361,2021,11,47,471.6
17271,1.2,2021,11,45,13
17325,1.6349,2019,9,39,301.1
1597,0.1979,2019,1,2,22.2
1230,0.5161,2020,4,14,50.4
2160,1.0411,2023,12,49,128.8
17079,0.157,2021,3,10,42.9
17034,0.089,2019,12,50,28.6
1615,1.6581,2019,4,15,69.5
15610,0.134,2023,6,24,8.9
17263,0.5075,2020,1,3,20.1
1578,0.4694,2020,4,18,6.4
592,0.7681,2020,7,28,111.8
17290,0.2133,2023,6,25,46.6
737,2.0445,2021,11,46,400
1461,0.3313,2019,10,42,142.6
1152,0.1876,2019,10,40,67.8
1128,0.225,2021,2,9,107.8
1318,0.3746,2021,2,8,9.7
1942,0.3712,2020,9,39,52.4
2097,0.3244,2020,1,1,6.8
2668,0.4884,2022,9,36,14
657,0.1059,2022,9,37,4.9
2180,2,2022,9,40,46.4
607,2.8,2019,7,29,177.5
1104,0.87,2020,8,34,139.1
15620,0.1157,2023,1,4,42.5
15592,0.2764,2023,3,11,39.4
19260,0.5501,2021,11,48,24.9
2533,0.6205,2021,11,48,193
17268,0.2004,2021,12,51,30
936,0.521,2020,8,31,31.8
2279,0.1351,2023,12,52,58.4
15532,0.3876,2020,1,5,14.5
2622,0.4129,2019,3,12,43.7
2737,0.1047,2021,3,10,12.1
562,1.3,2021,8,35,74.5
15617,0.0842,2020,7,31,33.3
583,0.2252,2019,1,1,8.4
2296,0.5529,2019,12,53,45.4
933,0.4315,2020,2,6,136.3
15548,0.7,2021,10,40,25
17096,0.5718,2021,8,34,76.9
17390,0.1431,2021,11,48,111.3
2775,0.4711,2020,3,14,24.3
21173,0.3238,2023,10,43,53.8
524,0.2517,2020,6,26,131.7
1614,0.2553,2019,6,26,59.1
1937,3.8713,2022,2,10,195.3
17858,0.1405,2022,5,21,200.7
16628,0.359,2020,10,42,236.7
1816,2.1582,2022,1,2,599.8
2074,0.0363,2021,12,52,111.7
1066,1.353,2019,6,25,23.9
1721,1,2022,7,27,7.5
2610,0.7304,2020,9,36,103.9
1960,0.6833,2020,12,52,41.5
16627,0.4057,2020,12,53,71.1
631,0.1339,2023,7,27,3.9
1729,0.1972,2021,6,24,64
1716,0.1129,2021,12,50,42
1166,2.4562,2022,4,18,213.4
1662,0.8634,2021,3,11,1140
1291,1.4428,2022,9,40,187.4
18578,0.2819,2022,9,39,84.2
15621,0.2542,2020,4,14,35.1
2093,1.091,2023,9,36,38.9
740,0.4079,2022,3,14,27.5
731,2.2888,2020,2,9,869.1
15070,0.1525,2021,10,42,51.6
17406,1,2023,2,7,24.3
1833,0.5928,2019,2,7,24.7
2690,0.2317,2019,4,14,278.3
1904,0.3586,2020,11,48,71.9
551,0.3922,2019,6,25,39
2589,1.0182,2021,12,52,194
2254,1.2,2020,8,35,259.5
2592,0.5472,2020,6,23,105
2533,0.6205,2022,12,52,199.9
1126,0.1027,2023,12,49,13.8
16952,0.2664,2020,9,36,88.3
2549,1.4022,2023,2,7,224.3
1271,1.2119,2019,10,43,83.7
2150,0.4737,2020,12,51,119.4
825,3,2019,5,21,133.4
2823,49,2023,1,3,5764.9
1994,0.4545,2022,1,3,53.8
1616,0.36,2020,2,9,66.4
1555,0.2527,2021,1,2,141.8
1103,0.0586,2019,10,40,51.9
17366,0.2261,2020,10,42,8.8
975,1.3515,2021,6,25,111.2
1982,0.9008,2021,5,22,102.2
2152,1.1803,2022,11,47,25
15642,0.0394,2022,7,31,15.2
1521,0.2323,2022,11,48,97
16547,0.168,2021,1,4,79.3
1284,0.4765,2023,6,22,35.4
17817,0.257,2023,10,41,56.7
2820,0.2426,2019,6,26,66.7
503,0.5802,2021,2,6,261.2
1650,0.5149,2019,8,34,29.4
17418,0.075,2021,10,41,93
1723,0.2907,2020,4,18,52.4
1280,0.2888,2023,9,39,119.2
899,0.0472,2020,4,16,54.2
2474,0.3206,2022,1,5,15.8
1434,0.6184,2020,6,25,86.6
2240,0.3861,2021,6,23,42
757,0.4954,2023,2,7,74
2091,0.3271,2023,4,18,39.4
2086,4.4557,2020,4,14,140.7
590,0.1784,2023,7,29,8.6
912,0.3038,2020,9,39,141.4
1254,0.213,2020,6,24,89.4
2481,0.227,2022,7,31,52.3
2288,0.4624,2023,6,25,242.2
15099,0.2782,2023,6,25,69.4
1482,0.7812,2019,8,31,6.9
1746,0.6658,2020,5,21,108.9
2689,0.9771,2022,10,43,384.7
2547,0.5965,2021,3,11,204.5
2038,0.4551,2021,2,8,66
21549,0.2049,2023,10,40,23.5
719,0.3171,2020,4,15,260.7
17881,0.1456,2019,9,37,106.6
17315,0.2521,2020,7,28,17.3
1979,0.9573,2022,4,15,130.3
2203,0.3498,2020,5,21,92.7
534,0.0922,2020,2,6,27.4
1030,0.1765,2021,5,22,24.7
17068,0.1244,2020,3,14,14.4
2041,0.0966,2020,4,15,53.1
665,1,2019,12,51,73.2
2755,0.0504,2020,9,36,49.5
702,0.7419,2020,2,9,27.2
17032,0.3089,2022,8,33,32.2
2202,0.5982,2021,12,50,112.5
615,0.4647,2020,8,31,11.5
709,1.0422,2021,12,53,37
634,0.1728,2020,12,51,47
20784,0.4383,2022,12,50,126.6
2350,0.3911,2021,1,4,22.9
585,0.8556,2023,5,21,488.6
2542,0.1227,2021,9,39,46.8
957,0.1258,2023,9,35,5.5
21177,0.7454,2023,6,26,25.7
17113,0.5,2020,3,13,87
2552,4.4067,2021,5,19,100.4
984,0.1312,2022,12,52,12.5
2460,0.2497,2023,3,11,34.2
1574,0.9111,2020,8,35,42.8
2099,0.2025,2020,9,37,5.3
646,2,2019,8,31,304.7
1321,0.4743,2019,12,50,80.9
752,0.1655,2021,8,34,15.4
16947,0.8456,2021,12,51,10.4
17328,0.1315,2020,12,51,97.3
2395,3.5068,2021,1,3,57.4
2288,0.4624,2019,1,2,94.8
2491,3,2022,3,11,225.2
791,0.1303,2019,7,31,42.4
940,0.4495,2020,12,50,110.4
17136,0.2197,2020,4,16,92.7
784,1.4401,2019,1,5,152.3
17092,0.1451,2020,11,46,110.3
485,0.5229,2019,12,50,168.2
941,0.1123,2019,5,21,82.1
2583,0.6972,2020,12,50,215.3
1108,0.5545,2019,7,30,118.6
15667,0.8891,2022,12,52,262.4
17377,0.3362,2021,2,7,27.7
2751,0.2136,2020,5,22,54.6
2164,0.4469,2022,11,45,222.6
1838,0.2143,2021,7,29,10.1
892,0.0849,2021,10,44,31.7
1094,2.1984,2020,9,36,99.4
2647,0.2652,2020,9,38,108
2663,0.2864,2022,7,28,117.2
1255,0.4461,2023,4,18,40.7
664,0.4383,2023,7,28,91.5
2133,0.5552,2023,11,45,219.9
1125,1,2019,9,36,108.8
2080,0.9034,2023,3,13,76.3
15549,0.169,2022,12,52,19.3
954,2.492,2019,10,44,508.4
1087,0.4938,2022,3,11,78.2
21562,0.0857,2023,8,32,11
2237,0.8231,2023,7,29,29.5
1365,0.1082,2021,5,21,30.9
2187,0.1107,2021,2,9,119.1
558,1.1968,2023,8,35,204.3
17189,1.5,2019,7,30,39
686,0.4235,2021,12,50,41.7
739,0.2008,2022,2,7,122.2
2351,0.4717,2019,12,50,64.8
2779,0.1819,2022,7,28,63.4
1108,0.5545,2020,8,35,19.8
1637,0.245,2023,12,52,114.2
2022,0.2995,2022,12,49,157.8
1488,1.012,2021,3,11,44.7
2645,0.4931,2023,9,38,33
1951,0.5,2022,5,22,50.3
515,4.385,2022,6,27,468.8
17117,2.5,2020,4,14,12.6
1614,0.2553,2023,8,31,37.6
2431,0.5776,2021,11,47,96.3
916,0.4253,2021,7,27,7.1
15549,0.169,2021,11,47,14.5
1269,0.1741,2023,12,52,98.4
21210,0.0533,2023,7,27,6.6
1071,0.1839,2020,12,51,59.7
659,0.96,2022,5,20,128.5
2802,1.3117,2020,5,18,49.2
17883,0.5348,2023,6,25,155
16630,0.6972,2021,1,3,214.5
2025,0.8133,2021,1,3,148.5
559,0.4,2023,6,24,105.9
776,0.1627,2019,10,43,52.7
584,0.3943,2019,2,8,66.7
938,9.3788,2023,8,33,1646.5
1886,0.1,2020,3,13,18.8
649,0.0779,2020,9,39,7.1
2152,1.1803,2019,7,29,131
2375,0.3316,2022,11,47,19.5
1945,0.08,2022,6,25,12.9
831,1.0572,2022,9,37,50.7
480,0.1385,2020,11,47,60
919,1.0611,2022,2,8,14.3
937,0.5527,2022,9,39,101.9
15065,0.2327,2021,8,34,54.4
1233,0.7784,2019,1,3,24.5
21162,0.1067,2023,9,38,10.8
17302,0.1353,2021,3,10,145.7
17820,0.3366,2021,12,53,147.2
1421,0.6162,2020,5,20,26.4
2035,0.104,2019,9,40,5.6
15080,0.2605,2019,3,12,84.9
2493,0.2424,2023,7,30,47.8
709,1.0422,2023,11,45,16.8
541,0.1105,2019,7,27,75.3
1971,0.2267,2021,4,17,25.3
873,0.1199,2023,9,38,39.8
2022,0.2995,2023,6,22,13.9
17837,0.4936,2021,3,10,83.1
2403,1.1941,2022,9,40,156.3
1103,0.0586,2021,12,50,132.1
2588,0.4879,2019,12,53,84.5
2607,0.26,2022,10,42,37.1
2185,0.267,2020,9,39,83.6
1240,0.8133,2022,6,26,51.8
2511,0.6213,2022,2,7,352.7
2144,0.5074,2022,7,28,109
1699,0.2311,2020,9,39,97.2
1717,0.4413,2019,4,16,91.8
2327,0.3025,2020,11,45,48.4
514,0.8928,2020,3,10,1549.7
2135,22,2020,3,10,2048.5
19259,0.0634,2020,9,37,43
738,0.2592,2021,9,40,27.9
15531,0.065,2019,5,20,37.9
1086,0.4953,2021,4,17,47.2
15616,0.2637,2022,9,38,4.8
911,0.1827,2021,4,15,9.2
1693,1.0207,2019,8,33,107.4
1061,0.3,2019,4,17,37.9
2338,0.3626,2020,1,5,112
17213,0.2368,2022,1,6,15.9
1150,0.1388,2019,9,40,39.9
17401,0.05,2020,7,30,27.9
2522,0.8,2021,10,43,19.7
1018,1.2512,2023,5,20,112.9
1888,0.4858,2020,7,31,165.7
21151,0.1996,2023,7,29,142.4
